species	fc	auroc	p.val	p.adj
K00001	0.031328451622840356	0.5546199611461875	0.008952636822229021	0.022207117530661635
K00002	-0.007832462051331715	0.4750546381738708	0.9446218158916586	0.9586001461178906
K00003	-0.05183909339568469	0.3933644973288004	1.2986786891952526e-4	8.35840531759566e-4
K00004	0.04187695765695437	0.5272644487615347	0.10880225123250442	0.16858626968339943
K00005	-0.01887594319229406	0.46214788732394363	0.3027726228399117	0.392081428404932
K00006	-0.06479392597601868	0.46413307430791645	0.00799486488553347	0.020300206788442705
K00007	-0.006639397517264664	0.5017848470131132	0.35733792084350946	0.4480805738193754
K00008	-0.003576548118891983	0.48879917435648373	0.7071055639239388	0.7702348022750831
K00009	-0.03265302893978763	0.458638902379796	0.3071975629833558	0.3968425809569009
K00010	0.04102212270657435	0.5619050509956289	0.0017784041147319574	0.006221286162134003
K00011	-0.0164477711990998	0.4717763477416222	0.5254227889480556	0.6108942248000266
K00012	0.026804303402186515	0.5508195726080621	0.008443926319182005	0.021200611294234593
K00013	-0.031441215183599956	0.38382102962603204	6.2379943499382634e-6	7.160641421898828e-5
K00014	-0.021584631732469113	0.404364983001457	0.0010368299773293867	0.00416354491148676
K00015	0.15075370892742845	0.5814533754249636	4.721943972771925e-4	0.00230165835192406
K00016	-0.07582112635012545	0.3794499757163672	6.6267613110824855e-6	7.530840889951596e-5
K00018	-0.010762211615312272	0.4651469159786304	0.1950595358708803	0.27390972777632
K00019	-0.02173461733273323	0.48090699368625545	0.39866885353332104	0.4889455376551585
K00020	0.05011661050126173	0.5470191840699369	0.013048403471468184	0.030113156256318368
K00021	0.21091751658253974	0.5363343856240894	0.018383342366184108	0.03972819574110149
K00023	-0.07751962849677356	0.4470434677027683	0.03933170025958101	0.07306951788065552
K00024	0.15705819210983474	0.6407540067994172	1.6419376969167843e-9	1.2439632741879066e-7
K00025	-0.12541870812778536	0.4668346284604177	0.05800961175832381	0.09994941770358802
K00026	0.3348582882718623	0.5840152986886838	0.0013568842462525765	0.005077146838635581
K00027	-0.05619608452570523	0.3839060223409422	1.1900143047053636e-5	1.187774629100523e-4
K00029	0.16818270814604797	0.6440201554152502	2.5226878364037475e-9	1.70067641852473e-7
K00030	0.009718144040383262	0.5008559980573094	0.3947406279598278	0.4851918565235523
K00031	-0.0208760583891952	0.40658693540553664	5.144156626390675e-4	0.0024595937256203003
K00033	0.03341924263540521	0.5412761049052938	0.06383890468956444	0.10828112725063649
K00034	0.04741560474750538	0.5531386595434677	0.037372974671159076	0.07008534028973844
K00036	0.06545483592396109	0.5677695483244294	0.007466273307270566	0.0192027818167919
K00038	0.047870482044338	0.5114558037882467	0.5697305580352388	0.6513662818583392
K00040	-0.07361600430906837	0.39705560951918406	6.036864825268041e-5	4.617621123558391e-4
K00041	-0.030763817052390178	0.43428241864983	0.008469197951724763	0.021226360965964235
K00042	0.03763345920272348	0.5326189898008743	0.10718504644499971	0.16653457899804155
