FR-CRC	DE-CRC	CN-CRC	US-CRC	AT-CRC	all
K00001	0.566347046087226	0.636388888888889	0.618975139523085	0.506286982248521	0.454278812974465	0.554619961146188
K00002	0.451283637488401	0.556944444444444	0.589548452562151	0.457100591715976	0.397688060731539	0.475054638173871
K00003	0.312712650788741	0.346111111111111	0.574074074074074	0.403846153846154	0.244133885438233	0.3933644973288
K00004	0.589236003711723	0.490555555555556	0.65119228817859	0.437130177514793	0.463940648723257	0.527264448761535
K00005	0.392205381998144	0.489722222222222	0.546423135464231	0.492233727810651	0.414251207729469	0.462147887323944
K00006	0.42097123414785	0.454444444444444	0.470065956367326	0.471523668639053	0.513802622498275	0.464133074307916
K00007	0.497680173213733	0.494722222222222	0.459665144596651	0.457100591715976	0.549344375431332	0.501784847013113
K00008	0.445097432725023	0.490277777777778	0.593860984271943	0.604289940828402	0.37008281573499	0.488799174356484
K00009	0.464274667491494	0.426111111111111	0.559614408929477	0.434171597633136	0.422532781228433	0.458638902379796
K00010	0.658521497061553	0.552222222222222	0.664383561643836	0.528846153846154	0.443236714975845	0.561905050995629
K00011	0.443550881534179	0.465555555555556	0.536022323693557	0.572115384615385	0.393547273982057	0.471776347741622
K00012	0.504484998453449	0.5225	0.54261796042618	0.568786982248521	0.65303657694962	0.550819572608062
K00013	0.368697803897309	0.238055555555556	0.536022323693557	0.45414201183432	0.314182194616977	0.383821029626032
K00014	0.425920197958552	0.263888888888889	0.558092338914257	0.524408284023669	0.304865424430642	0.404364983001457
K00015	0.682338385400557	0.568333333333333	0.54337899543379	0.570636094674556	0.581608005521049	0.581453375424964
K00016	0.226724404577792	0.381388888888889	0.527650938609843	0.441198224852071	0.267943409247757	0.379449975716367
K00018	0.48468914321064	0.328333333333333	0.52181633688483	0.494822485207101	0.496031746031746	0.46514691597863
K00019	0.616764614908753	0.44	0.463977676306443	0.442677514792899	0.44047619047619	0.480906993686255
K00020	0.57346118156511	0.468611111111111	0.605783866057839	0.623890532544379	0.500172532781228	0.547019184069937
K00021	0.548716362511599	0.533888888888889	0.504058853373922	0.483727810650888	0.675983436853002	0.536334385624089
K00023	0.495205691308382	0.298611111111111	0.426433282597666	0.464127218934911	0.562629399585921	0.447043467702768
K00024	0.691617692545623	0.591111111111111	0.579908675799087	0.629437869822485	0.727225672877847	0.640754006799417
K00025	0.424218991648624	0.507638888888889	0.375443937087773	0.466900887573964	0.534851621808144	0.466834628460418
K00026	0.561707392514692	0.548333333333333	0.509005580923389	0.613165680473373	0.666839199447895	0.584015298688684
K00027	0.418806062480668	0.325833333333333	0.523338406900051	0.393121301775148	0.277260179434092	0.383906022340942
K00029	0.68419424682957	0.546944444444444	0.60882800608828	0.59689349112426	0.736887508626639	0.64402015541525
K00030	0.599133931333127	0.480833333333333	0.576610857432775	0.410133136094675	0.418391994478951	0.500855998057309
