species	fc	auroc	p.val	p.adj	ancom.w
Streptococcus anginosus [ref_mOTU_v2_0004]	0.08874269862814124	0.5301845556095193	0.06679557912420697	0.18903148892150573	152
Enterobacteriaceae sp. [ref_mOTU_v2_0036]	0.3979681449272033	0.602252306945119	5.321530139257291e-5	7.789619117636966e-4	782
Citrobacter sp. [ref_mOTU_v2_0076]	-0.012502326110679493	0.4953193297717339	0.8041857695284605	0.891640745456541	106
Klebsiella michiganensis/oxytoca [ref_mOTU_v2_0079]	0.09139858694756647	0.5173749392909179	0.14790181648833567	0.3198852512847963	150
Enterococcus faecalis [ref_mOTU_v2_0116]	0.04242195719723431	0.5106240893637688	0.46984502580692356	0.6475623813475294	95
Lactobacillus salivarius [ref_mOTU_v2_0125]	0.12581842491825562	0.553035454103934	8.612235699656523e-5	0.0011424668920325606	297
Dielma fastidiosa [ref_mOTU_v2_0138]	0.1289911598084948	0.5560101991257892	0.006192511686698987	0.03257909284704003	425
Streptococcus constellatus/intermedius [ref_mOTU_v2_0143]	0.17347005524739245	0.573075522098106	5.601279862643693e-5	8.06014678539745e-4	423
Streptococcus parasanguinis [ref_mOTU_v2_0144]	-0.06474597613350459	0.47106605148130165	0.18774218699147072	0.37185732432307445	62
Streptococcus sp. HSISM1 [ref_mOTU_v2_0145]	-0.03647294418257782	0.4765723652258378	0.3955337769866051	0.5873792642898255	111
Peptostreptococcus anaerobius [ref_mOTU_v2_0148]	0.0757231456302669	0.5530840213695969	2.648132620231003e-5	4.5768668515404673e-4	569
Bifidobacterium longum [ref_mOTU_v2_0150]	-0.20005165909482372	0.4387688198154444	0.02358381356899314	0.08667817194837737	434
Bifidobacterium breve [ref_mOTU_v2_0157]	-0.01690801887425616	0.48138659543467704	0.21530417656698234	0.4035170991288477	178
Klebsiella sp. [ref_mOTU_v2_0160]	0.05004672572650078	0.5377367654201068	0.4126284548645893	0.5993133431562836	54
Lactobacillus ruminis [ref_mOTU_v2_0167]	-0.019793981974811452	0.48094949004371057	0.007070766924210374	0.03514765288403311	329
Lactococcus lactis [ref_mOTU_v2_0182]	-0.007679375290789975	0.48158693540553665	0.9053698597160066	0.9505520140973459	98
Streptococcus vestibularis [ref_mOTU_v2_0198]	-0.0778174105942489	0.4710417678484702	0.2647456522956924	0.4486408359262332	97
Streptococcus salivarius [ref_mOTU_v2_0199]	-0.2023631103116539	0.4158450704225352	7.919264605144168e-5	0.0010672151825027616	545
Streptococcus thermophilus [ref_mOTU_v2_0219]	-0.24834862363672283	0.4114011656143759	9.38962546278892e-4	0.0072854021256650026	712
Lactobacillus casei/paracasei [ref_mOTU_v2_0226]	-0.05640228720417791	0.4634895580378825	0.1079157618238728	0.2569730463627463	183
Megasphaera elsdenii [ref_mOTU_v2_0252]	-0.009363919325460683	0.5065930063137446	0.4526229297484978	0.6309964981222901	104
Streptococcus sp. [ref_mOTU_v2_0261]	-0.016251386357388594	0.4960174842156386	0.7057211538529821	0.8264238063740439	123
Enterobacter sp. [ref_mOTU_v2_0265]	-0.011612224733083555	0.503399708596406	0.9326275338753311	0.9670981712711729	148
Bacteroides stercoris [ref_mOTU_v2_0275]	0.13738418873754663	0.542229237493929	0.14782563489788902	0.3198852512847963	26
Prevotella nigrescens [ref_mOTU_v2_0276]	0.052350750227054696	0.5600473530840214	2.0851309567859744e-9	1.0413389307713484e-7	599
Streptococcus sanguinis [ref_mOTU_v2_0279]	-0.08852844873059518	0.4628885381253035	0.12672592100054775	0.2884458630816757	134
Ruminococcus gnavus [ref_mOTU_v2_0280]	0.28909629886324323	0.5775558523555124	0.001710755693923538	0.011713157936621643	687
Ruminococcus lactaris [ref_mOTU_v2_0281]	-0.14534344941434582	0.4686134045653229	0.1745506720048955	0.3562344243561449	39
Bacteroides fragilis [ref_mOTU_v2_0286]	0.09298168765542084	0.5516209324915007	0.0018512348152128766	0.012573586864925858	626
Bacteroides fragilis [ref_mOTU_v2_0287]	0.5268768927791999	0.6185466245750365	9.007591952325811e-7	2.2492486963307684e-5	823
Streptococcus mutans [ref_mOTU_v2_0289]	-0.02841672720265763	0.483869596891695	0.8767407582676672	0.9380234970673587	160
Bacteroides nordii [ref_mOTU_v2_0302]	0.19785397766331972	0.5688623118018455	0.0068059958628583495	0.03454248793521843	718
Coprococcus sp. [ref_mOTU_v2_0303]	0.08738583394841665	0.5281265177270519	0.07704875809241996	0.20899167929860876	76
Streptococcus anginosus [ref_mOTU_v2_0351]	0.06282584515657011	0.5340456532297232	0.009815837889212586	0.04553905119093708	266
Streptococcus oralis [ref_mOTU_v2_0356]	0.10950766273838428	0.5499757163671686	0.04231571799060352	0.14033611161727494	294
Haemophilus parainfluenzae [ref_mOTU_v2_0358]	-0.07788708252496651	0.48693540553666825	0.26133058995120523	0.4468373793705886	70
Lactococcus lactis [ref_mOTU_v2_0371]	-0.020043137951095004	0.47767119961146187	0.6070936926482019	0.7568612996451151	130
Enterococcus faecium [ref_mOTU_v2_0372]	-0.04312942211907414	0.46516512870325394	0.13936973079679482	0.3073374063544904	106
Acidaminococcus intestini [ref_mOTU_v2_0391]	0.22184018088087476	0.5548324429334628	0.0027064656516584407	0.01689550984013247	573
Streptococcus sp. [ref_mOTU_v2_0416]	0.13850645227790956	0.5568661971830986	5.66551868709686e-4	0.005063184595100247	539
Anaerococcus obesiensis/vaginalis [ref_mOTU_v2_0429]	0.167231416198257	0.5786182612918892	1.5870015523944403e-8	5.858105730360347e-7	598
Bacteroides barnesiae [ref_mOTU_v2_0452]	0	0.510575522098106	0.04814440443383061	0.15229981938632656	148
Bacteroides massiliensis [ref_mOTU_v2_0455]	-0.1467253007695902	0.47589849441476445	0.2640120687544799	0.4486408359262332	25
Bacteroides salyersiae [ref_mOTU_v2_0458]	0.08503523457039247	0.5239193783389995	0.4300576642399232	0.6146783786863549	119
Blautia wexlerae [ref_mOTU_v2_0466]	-0.12918118090123085	0.4370446818844099	0.04218343056646027	0.14033611161727494	585
Clostridium saccharogumia [ref_mOTU_v2_0473]	-0.09039448444249824	0.4735915492957747	0.17006122091853199	0.3512219456624154	160
