GuptaA_2019	HanniganGD_2017	ThomasAM_2018a	ThomasAM_2018b	ThomasAM_2019_c	YachidaS_2019	all
Escherichia coli	1.35334494700479	0.0473000207635997	1.31879598949902	1.70485230914896	-0.422935994906398	-0.0310922324234834	0.661710839847749
Alistipes putredinis	0.707891017482329	-0.14296537290653	-1.04332543078907	-0.088314540177575	0.595223697362272	0.227813315100033	0.0427204476785766
Porphyromonas asaccharolytica	0.0266195877749639	0	0	0.135333661805327	0	0	0.0269922082633819
Bacteroides uniformis	1.46929824434809	-0.978225922774556	-0.455143625678673	-0.0821505495180368	0.158996927589602	-0.0364774544029297	0.0127162699272501
Prevotella stercorea	1.59517693850292	0	0.0998573997501336	0.397434183855169	1.18255889014293	0.224742533864858	0.583294991019335
Prevotella sp. CAG:279	0.891770803180879	0	0.940097741919209	0.702243070984259	0.0162155065190935	0.00522586998907514	0.425925498765419
Dialister sp. CAG:357	-0.616113222712441	0	-1.21130257018351	-0.0864902627891594	0	0	-0.318984342614185
Phocaeicola massiliensis	0	-0.0605846385455381	-0.757053263649784	1.11975737170915	-0.274660356218647	0.144986089974879	0.0287408672116763
Prevotella bivia	0.0237600927406118	0	0	0.134816964537078	0	0	0.0264295095462816
Odoribacter splanchnicus	1.75361461135704	-0.223895595263407	-0.172157226700152	0.357513304840427	0.84882175609039	0.341517357091159	0.48423570123591
Porphyromonas uenonis	0.386834229487019	0	0	0	0.121810351354942	0	0.0847740968069935
Clostridium sp. CAG:413	0.790535604403117	0	0	0	0	0	0.131755934067186
Parvimonas micra	1.00545746559875	0	0	1.65844470941583	1.90432713069562	0.563113470857121	0.855223796094555
Bacteroides fragilis	3.38950889573825	-0.061016102594043	0.87332596974011	1.17670254299884	0.660669684033889	0.0339241976406984	1.01218586459296
Peptostreptococcus anaerobius	0.0217693542433788	0	0	0.154896753950722	0.142398571291417	0	0.0531774465809197
Bacteroides intestinalis	2.25543223175073	0.0318193727056948	-0.52217860445623	0.0334606200680776	0.0956395222720678	-0.0622928155302475	0.305313387801682
Bacteroides thetaiotaomicron	2.56186282371817	-1.1331341013134	0.0127727291801326	0.765355293201663	0.546428002122831	0.131617077388801	0.480816970716365
Firmicutes bacterium CAG:170	0.741521024821845	0	-0.349206627202026	0.656950142393414	0.132276892264331	0	0.196923572046261
Bacteroides caccae	-0.224569108202863	-0.578217744360977	-0.759915978427842	0.292162051095004	1.35368868039116	0.470032591510746	0.092196748667538
Ruminococcus bromii	0.987497927800925	0.124477189369218	-1.47404295570615	0.455829488062096	0.954477685057484	-0.210495352265277	0.139623997053049
Phocaeicola vulgatus	2.10046505535279	-0.404918489596187	-0.476576767760576	-0.208825964208876	0.36586512961026	0.0353657966660987	0.235229126677252
Parabacteroides distasonis	1.97427531055411	-0.116965431000172	-0.69506033938405	-0.0176335688050021	0.537889068791741	0.430644367816718	0.352191567995558
