GuptaA_2019	HanniganGD_2017	ThomasAM_2018a	ThomasAM_2018b	ThomasAM_2019_c	YachidaS_2019	all
Escherichia coli	0.027024551983628	0.90909314376972	0.678107046825275	0.641377368262288	0.753961165751996	0.88202895004639	0.499309620713591
Alistipes putredinis	0.579670900558186	0.933055502783084	0.743480132615848	0.922256785343076	0.61812489996563	0.566110145664307	0.537349227750948
Porphyromonas asaccharolytica	0.199862770270741	0.757212794309908	0.743480132615848	0.641377368262288	0.558035279812146	0.474983207657439	0.00852879443035974
Bacteroides uniformis	0.218203015126349	0.757212794309908	0.743480132615848	0.668133375230567	0.713205426809591	0.643996539892511	0.590563943727094
Prevotella stercorea	0.291030995121784	NA	0.743480132615848	0.62116437256463	0.288986803532661	0.559980127036186	0.100147366852005
Prevotella sp. CAG:279	0.296265726774709	0.976615050624871	0.678107046825275	0.641377368262288	0.617281220739567	0.976908311890725	0.47399624941851
Dialister sp. CAG:357	0.556674575120945	0.757212794309908	0.678107046825275	0.641377368262288	0.802544263728756	0.655336562558203	0.0750587185350406
Phocaeicola massiliensis	1	0.83423842120063	0.743480132615848	0.641377368262288	0.785988683408335	0.92014530004059	0.970538636342879
Prevotella bivia	0.199862770270741	NA	0.935047531358565	0.641377368262288	0.753961165751996	0.929010158586656	0.499309620713591
Odoribacter splanchnicus	0.00579867543161273	0.757212794309908	0.743480132615848	0.528953350533896	0.501358698148373	0.19619850016687	0.00730484754489702
Porphyromonas uenonis	0.0923868497090316	0.757212794309908	0.743480132615848	0.641377368262288	0.428212970793485	0.559980127036186	0.0252640039123138
Clostridium sp. CAG:413	0.107117987188437	NA	0.743480132615848	0.641377368262288	0.558035279812146	0.322140950996579	0.655152402444921
Parvimonas micra	0.0154272784792724	NA	0.743480132615848	0.0104050169345658	0.00158101637475591	0.000681385249304559	2.62154964403294e-09
Bacteroides fragilis	0.0013682316411505	0.900678995553148	0.743480132615848	0.641377368262288	0.558035279812146	0.960606572116104	0.279850208601776
Peptostreptococcus anaerobius	0.199862770270741	0.757212794309908	NA	0.641377368262288	0.558035279812146	0.320552642552005	0.0133537862617474
Bacteroides intestinalis	0.0013682316411505	0.930019513470171	0.743480132615848	0.98333227818905	0.852965942284766	0.559980127036186	0.987049968094466
Bacteroides thetaiotaomicron	0.000551510106360496	0.596086983013179	0.743480132615848	0.72710055462643	0.558035279812146	0.537831951079206	0.308812839717694
Firmicutes bacterium CAG:170	0.420946271809311	NA	0.743480132615848	0.641377368262288	0.86298407711035	0.643996539892511	0.79780604742711
Bacteroides caccae	0.881547220835405	0.757212794309908	0.933216780995803	0.922256785343076	0.501358698148373	0.190327265757538	0.169481155795988
Ruminococcus bromii	0.296265726774709	0.90909314376972	0.743480132615848	0.8457136514771	0.558035279812146	0.88202895004639	0.915418982067144
Phocaeicola vulgatus	0.0923868497090316	0.800882118397853	0.97261096300215	0.641377368262288	0.912735182822153	0.93755219491002	0.900410078659027
Parabacteroides distasonis	0.00644540463992592	0.87368974236239	0.743480132615848	0.98333227818905	0.558035279812146	0.267259398083634	0.117798932559699
Coprococcus eutactus	0.107117987188437	0.83423842120063	0.908531707393981	0.859478757551285	0.692924431581336	0.643996539892511	0.537349227750948
[Eubacterium] rectale	0.00049150582870161	0.757212794309908	0.743480132615848	0.660388311734534	0.981343518565169	0.643996539892511	0.499309620713591
Limosilactobacillus mucosae	0.0665971808821232	0.757212794309908	0.743480132615848	0.641377368262288	0.753961165751996	0.79729799852524	0.378771074661476
Bacteroides ovatus	0.0923868497090316	0.862697421527673	0.743480132615848	0.641377368262288	0.671376068795259	0.211859510666528	0.337953780937354
Butyricimonas virosa	0.00356348448784233	NA	0.743480132615848	0.641377368262288	0.558035279812146	0.643996539892511	0.100539818654873
