FR-CRC	DE-CRC	CN-CRC	US-CRC	AT-CRC	all
K00001	0.369487621607699	0.076496517212034	0.207129825291857	0.97427195265365	0.540437222468786	0.0222071175306616
K00002	0.526087336915462	0.576902516342703	0.353544346951064	0.724717745527735	0.14433162972931	0.958600146117891
K00003	0.00916845435219936	0.0386414156384439	0.462769913120916	0.410208365784227	0.00131177606156747	0.000835840531759566
K00004	0.207970474209594	0.946935478360462	0.111536543885701	0.569784853762556	0.638053235403525	0.168586269683399
K00005	0.123834143121707	0.941686609241921	0.694042719315016	0.964349169907231	0.226665803677723	0.392081428404932
K00006	0.0380098254141014	0.491933428539342	0.356198494144319	0.555072206210003	0.701768164385748	0.0203002067884427
K00007	0.971584873372377	0.951215742147138	0.728065270826699	0.614707444499191	0.371168519581194	0.448080573819375
K00008	0.468839072174011	0.946199741674022	0.33404485650288	0.386142357422824	0.0627182743626336	0.770234802275083
K00009	0.648595718660416	0.442909189242798	0.568283561293878	0.55250564348421	0.280413439732753	0.396842580956901
K00010	0.0282368960330973	0.612943531580098	0.0798645951258289	0.830306435568965	0.442401676834891	0.006221286162134
K00011	0.453689540491437	0.754484945353951	0.777281049340838	0.511315986282868	0.127398913701715	0.610894224800027
K00012	0.961262905336251	0.855697193779853	0.71970463144274	0.534470193936053	0.0299243027835534	0.0212006112942346
K00013	0.0646094529093514	0.000483038976552047	0.777281049340838	0.700716624919477	0.00982044898633051	7.16064142189883e-05
K00014	0.308172066699983	0.000897587026849347	0.582302715096712	0.859750637860924	0.00693966867098415	0.00416354491148676
K00015	0.0113112310478644	0.485543488782976	0.71723075885117	0.521970975175182	0.252035699428182	0.00230165835192406
K00016	0.000160972600788713	0.142964100202037	0.849405201414164	0.601521979915071	0.00190253112200346	7.5308408899516e-05
K00018	0.859269806724174	0.0177572634057844	0.887142651367639	0.979091114602539	0.966030813578504	0.27390972777632
K00019	0.0955459616239117	0.555237116456982	0.777281049340838	0.612911553425069	0.417322432976831	0.488945537655159
K00020	0.313129324582669	0.780457769156558	0.257372472908882	0.345680974182769	1	0.0301131562563184
K00021	0.513809466672481	0.73921591699805	0.972278809060205	0.90264981577157	0.00816206773817427	0.0397281957411015
K00023	0.957986305133239	0.00432591769679136	0.466879574051277	0.778106456070071	0.389802700395342	0.0730695178806555
K00024	0.00753939119597364	0.305558983100568	0.415223065738633	0.343386056575041	0.00221379640360777	1.24396327418791e-07
K00025	0.153009547094021	0.950753399824678	0.109405625791408	0.722544038036177	0.430183431633218	0.099949417703588
K00026	0.405536427318915	0.640973513650391	0.956580640331936	0.370616644482183	0.0191830777897176	0.00507714683863558
K00027	0.258282394617976	0.0159262809465908	0.879811220181633	0.378889004992999	0.00255949507774375	0.000118777462910052
K00029	0.0104130483692148	0.653254983823361	0.257372472908882	0.409223147003226	0.00162930269783211	1.70067641852473e-07
K00030	0.157888112943787	0.880385263942506	0.442479193450135	0.430977120481397	0.252035699428182	0.485191856523552
K00031	0.0922984159554764	0.0851615886239215	0.686188511481573	0.964349169907231	0.00304467139341507	0.0024595937256203
K00033	0.324934452336441	0.499993101323677	0.568071228279463	0.715324273530688	0.799057188913627	0.108281127250636
K00034	0.253997689763888	0.833186396313288	0.920055995584801	0.521970975175182	0.50951735951046	0.0700853402897384
K00036	0.206242143647603	0.595234022241639	0.531612271829314	0.563311534838578	0.540437222468786	0.0192027818167919
K00038	0.197299155446723	0.973350973398031	0.667425645972239	0.790557455021468	0.380103149608188	0.651366281858339
K00040	0.178422027875752	0.00134563787376394	0.944564811299888	0.842378034183324	0.0653655573954828	0.000461762112355839
K00041	0.885035024731494	0.00965938091608431	0.495668560251683	0.979091114602539	0.420216569806297	0.0212263609659642
K00042	0.689543892869559	0.773071756455053	0.521385401216071	0.926127231031188	0.387095153119088	0.166534578998042
K00044	0.972210805914908	0.136245824596821	0.205293418045556	0.883172034140573	0.599988504071163	0.116948911169625
K00045	0.52852246965454	0.93297877951495	0.355201187280679	0.918518987328029	0.00935571517589483	0.0627019018617319
K00046	0.36151281576865	0.257456639036943	0.876321888550766	0.621921323727741	0.91306131027368	0.926105161684976
K00048	0.00807117832316847	0.00086966315344963	0.727571624997443	0.542394796792211	0.00582891768097457	5.3074215258338e-07
K00049	0.0915310461941696	0.93297877951495	0.356198494144319	0.310262902313307	0.058338306793796	0.176036049743729
K00050	0.749608067537286	0.00320769789601665	0.910028659516496	0.954775508783627	0.702646079602352	0.158713625255631
K00052	0.127667637336999	0.00161990255343909	0.510376771807678	0.425808550935534	0.00702979877974709	0.00052984141782913
K00053	0.00374489617672681	0.00207333481390072	0.572713239970173	0.549609285257368	0.0469507161886696	0.000454906784125714
K00054	0.430367498499912	0.741021813552265	0.257372472908882	0.805717135726847	0.491121014892953	0.496499364333603
K00055	0.765245001345497	0.6327426293121	0.355201187280679	0.660209425708666	0.704520596461761	0.870593859932956
K00057	0.220987878162523	0.0105937539082869	0.347921534793741	0.467585848858237	0.0065239137086375	0.0059697062261963
K00058	0.799700407367016	0.579336115027045	0.152881742373635	0.976756863301737	0.0202943537399437	0.785217149109874
K00059	0.903019553156148	0.0362218869635502	0.257372472908882	0.571704611473288	0.0034238560873527	0.0402444652892051
K00060	0.00873689422808943	0.426087455085145	0.143579607368841	0.765257144015391	0.100093327374697	6.41651048303236e-05
K00064	0.00486916902822025	0.182037578464157	0.537435083528814	0.717774412541134	0.0682625347346469	9.8376514091231e-05
K00065	0.926734530884832	0.587123085830204	0.597703819698004	0.88604608660392	0.423386583619875	0.380967107944683
