species	p.val.FR-CRC	p.val.DE-CRC	p.val.CN-CRC	p.val.US-CRC	p.val.AT-CRC	p.val.all	p.adj.FR-CRC	p.adj.DE-CRC	p.adj.CN-CRC	p.adj.US-CRC	p.adj.AT-CRC	p.adj.all	fc.FR-CRC	fc.DE-CRC	fc.CN-CRC	fc.US-CRC	fc.AT-CRC	fc.all	auc.FR-CRC	auc.DE-CRC	auc.CN-CRC	auc.US-CRC	auc.AT-CRC	auc.all	ancom.FR-CRC	ancom.DE-CRC	ancom.CN-CRC	ancom.US-CRC	ancom.AT-CRC	ancom.all	ancom.all-blocked
Streptococcus anginosus [ref_mOTU_v2_0004]	0.9950955830362331	0.003685881864682202	0.014762913241549675	0.48724368002542867	0.37818153235212115	0.06679557912420697	1	0.050756406005459824	0.17306676753939773	0.8121997592806993	0.6203471800604198	0.18903148892150573	-0.015444224647974746	0.23304447108638673	0.2710852961004973	0.05364490207761586	-0.09861695147581895	0.08874269862814124	0.4995360346427467	0.6125	0.6009639776763065	0.5273668639053255	0.455831608005521	0.5301845556095193	9	424	210	0	61	152	NA
Enterobacteriaceae sp. [ref_mOTU_v2_0036]	0.062160706235891115	0.1227013511912694	0.9863817686612687	0.004358447080742676	0.010228386801012531	5.321530139257291e-5	0.36920559643401757	0.390413390154039	0.9953868629264981	0.2203891318170591	0.06999259728296178	7.789619117636966e-4	0.4354025222725365	0.3374803417166694	0.002040507851764827	0.6114560265458315	0.6034613262492142	0.3979681449272033	0.6016084132384781	0.5816666666666667	0.4989852866565196	0.6621671597633136	0.6445824706694272	0.602252306945119	0	613	0	734	619	782	NA
Citrobacter sp. [ref_mOTU_v2_0076]	0.3972053842031017	0.976936620045874	0.08087472725152381	0.06579098010917826	0.08063056970594283	0.8041857695284605	0.7207908049547664	1	0.38191355389355774	0.4233025209398802	0.26397482282306295	0.891640745456541	0.051979675733164914	0.02016745911997504	-0.20102017193617855	-0.09719528622445876	0.1635566927540999	-0.012502326110679493	0.5279925765542839	0.5011111111111111	0.4378488077118214	0.44175295857988167	0.5678053830227743	0.4953193297717339	0	51	36	3	9	106	NA
Klebsiella michiganensis/oxytoca [ref_mOTU_v2_0079]	0.14570858408927553	0.6012928063987479	0.2718665138114428	0.09116888651516736	0.003084388315943521	0.14790181648833567	0.5384139944625037	0.7723026871176579	0.5394851133445817	0.45167267561853675	0.031144799092697992	0.3198852512847963	0.10505920409318303	0.037476058826677074	-0.05454322199801312	0	0.3690008938159854	0.09139858694756647	0.5453139498917414	0.5155555555555555	0.4687975646879757	0.4609837278106509	0.6262939958592133	0.5173749392909179	16	50	36	0	357	150	NA
Enterococcus faecalis [ref_mOTU_v2_0116]	0.8597042241533481	0.7322068090182614	0.2073567186753479	0.754061314819929	0.34749577574999085	0.46984502580692356	0.9750618868316143	0.8560454403507267	0.5143305888755676	0.9216498399584505	0.5994302131687342	0.6475623813475294	-0.07925289000581115	0.038662465484205794	0.09839924411230093	0	0.15430096639547597	0.04242195719723431	0.4910300030931024	0.5113888888888889	0.54337899543379	0.4911242603550296	0.5417529330572809	0.5106240893637688	0	46	53	0	3	95	NA
Lactobacillus salivarius [ref_mOTU_v2_0125]	0.15411429923452444	0.023427832950868914	0.08558787722747896	0.07112338766226536	0.06489724019730833	8.612235699656523e-5	0.5487627151854597	0.1513798436825376	0.38590510323869215	0.4271822445097552	0.22865921226966512	0.0011424668920325606	0.13415535255536115	0	0.19600059532704767	0.10256361617960762	0.1963725605292616	0.12581842491825562	0.5470151562016702	0.5416666666666666	0.5568239472349061	0.557137573964497	0.578847481021394	0.553035454103934	19	131	77	21	1	297	NA
Dielma fastidiosa [ref_mOTU_v2_0138]	0.8751732657908792	0.023108895142503114	0.5331555847329529	0.14382623768955438	0.048030177812258955	0.006192511686698987	0.9750618868316143	0.1513798436825376	0.7359865137074458	0.4921549200622647	0.1902822355433034	0.03257909284704003	-0.005542346069827541	0.18423150809009142	0.0807966467812346	0.1850542270580076	0.20041576318296794	0.1289911598084948	0.4927312094030313	0.5947222222222222	0.5276509386098427	0.5791420118343196	0.5886818495514148	0.5560101991257892	9	430	28	2	7	425	NA
Streptococcus constellatus/intermedius [ref_mOTU_v2_0143]	0.2503607603059002	0.17501735762558024	0.002237352389074239	0.03134991989743615	0.13977585558011948	5.601279862643693e-5	0.6271747591751399	0.4349543798978917	0.054656728069141645	0.34904102937392395	0.3434255442740028	8.06014678539745e-4	0.1399977773171227	0.08564591223529332	0.33467085030471866	0.1839170994915534	0.12311863688827414	0.17347005524739245	0.554283946798639	0.5494444444444445	0.6253170979198376	0.5891272189349113	0.5690131124913734	0.573075522098106	13	59	421	231	7	423	NA
Streptococcus parasanguinis [ref_mOTU_v2_0144]	0.22560350458007047	0.0933469209024564	0.8488676328929148	0.08532819766395426	0.16276764248958348	0.18774218699147072	0.6209822664566295	0.32945972083219904	0.9209878989223828	0.4415734229109633	0.37963833234190175	0.37185732432307445	-0.23050646060241747	-0.18212555384244536	-0.01965503704768794	0.23387495867081776	-0.12531778784578995	-0.06474597613350459	0.4339622641509434	0.41111111111111115	0.5100202942668696	0.5980029585798816	0.42132505175983437	0.47106605148130165	2	1	0	2	36	62	NA
Streptococcus sp. HSISM1 [ref_mOTU_v2_0145]	0.9860218474280822	0.24875415810483312	1	0.2987252045823071	0.2305369966101102	0.3955337769866051	1	0.529114943555358	1	0.6681890605510854	0.45557191692880966	0.5873792642898255	0.012327225859521207	-0.123605302114425	-0.007425262555747825	0.11132974273838082	-0.17499112484061832	-0.03647294418257782	0.5010825858335911	0.44166666666666665	0.5	0.5584319526627219	0.432712215320911	0.4765723652258378	0	10	8	0	158	111	NA
Peptostreptococcus anaerobius [ref_mOTU_v2_0148]	0.7110049601192717	0.012609388294062584	0.14005814354701335	0.012359188851442151	0.0012281684632481876	2.648132620231003e-5	0.9267278272762024	0.1091947027527069	0.4303399410597749	0.29922464937964377	0.015889429493273426	4.5768668515404673e-4	0	0.003748962762647402	0.12665853856708137	0.03906938368468188	0.20913884313692385	0.0757231456302669	0.5100525827404887	0.55	0.5466768138001015	0.5576923076923077	0.6090407177363699	0.5530840213695969	16	175	81	221	319	569	NA
