FR-CRC	DE-CRC	CN-CRC	US-CRC	AT-CRC	all
Streptococcus anginosus [ref_mOTU_v2_0004]	0.499536034642747	0.6125	0.606106106106106	0.527366863905326	0.455831608005521	0.531482153660012
Enterobacteriaceae sp. [ref_mOTU_v2_0036]	0.601608413238478	0.581666666666667	0.495495495495496	0.662167159763314	0.644582470669427	0.602196007259528
Citrobacter sp. [ref_mOTU_v2_0076]	0.527992576554284	0.501111111111111	0.436936936936937	0.441752958579882	0.567805383022774	0.495051421657592
Klebsiella michiganensis/oxytoca [ref_mOTU_v2_0079]	0.545313949891741	0.515555555555556	0.468218218218218	0.460983727810651	0.626293995859213	0.517114337568058
Enterococcus faecalis [ref_mOTU_v2_0116]	0.491030003093102	0.511388888888889	0.54954954954955	0.49112426035503	0.541752933057281	0.512026618269812
Lactobacillus salivarius [ref_mOTU_v2_0125]	0.54701515620167	0.541666666666667	0.561811811811812	0.557137573964497	0.578847481021394	0.554470659407139
Dielma fastidiosa [ref_mOTU_v2_0138]	0.492731209403031	0.594722222222222	0.525025025025025	0.57914201183432	0.588681849551415	0.555293405928615
Streptococcus constellatus/intermedius [ref_mOTU_v2_0143]	0.554283946798639	0.549444444444445	0.622622622622623	0.589127218934911	0.569013112491373	0.572450090744102
Streptococcus parasanguinis [ref_mOTU_v2_0144]	0.433962264150943	0.411111111111111	0.511636636636637	0.598002958579882	0.421325051759834	0.471639443436177
Streptococcus sp. HSISM1 [ref_mOTU_v2_0145]	0.501082585833591	0.441666666666667	0.496371371371371	0.558431952662722	0.432712215320911	0.475523290986086
Peptostreptococcus anaerobius [ref_mOTU_v2_0148]	0.510052582740489	0.55	0.54542042042042	0.557692307692308	0.60904071773637	0.552819116757411
Bifidobacterium longum [ref_mOTU_v2_0150]	0.373646767708011	0.478888888888889	0.443443443443443	0.504992603550296	0.42736369910283	0.439987900786449
Bifidobacterium breve [ref_mOTU_v2_0157]	0.498298793690071	0.458888888888889	0.492617617617618	0.500739644970414	0.478778467908903	0.481258318209316
Klebsiella sp. [ref_mOTU_v2_0160]	0.523816888339004	0.500833333333333	0.506256256256256	0.521449704142012	0.53968253968254	0.538681185722928
Lactobacillus ruminis [ref_mOTU_v2_0167]	0.434426229508197	0.475	0.487987987987988	0.509245562130177	0.502760524499655	0.480925589836661
Lactococcus lactis [ref_mOTU_v2_0182]	0.537581193937519	0.455833333333333	0.468218218218218	0.463757396449704	0.548136645962733	0.480919540229885
Streptococcus vestibularis [ref_mOTU_v2_0198]	0.399938137952366	0.475277777777778	0.538538538538539	0.532174556213018	0.461525189786059	0.471736237144586
Streptococcus salivarius [ref_mOTU_v2_0199]	0.341169192700278	0.375	0.441941941941942	0.484837278106509	0.412180814354727	0.41697519661222
Streptococcus thermophilus [ref_mOTU_v2_0219]	0.38230745437674	0.459583333333333	0.565565565565566	0.386834319526627	0.319185645272602	0.411687840290381
Lactobacillus casei/paracasei [ref_mOTU_v2_0226]	0.459016393442623	0.463888888888889	0.502502502502503	0.462093195266272	0.477398205659075	0.465275257108288
Megasphaera elsdenii [ref_mOTU_v2_0252]	0.485307763686978	0.525277777777778	0.461711711711712	0.509615384615385	0.54623878536922	0.506442831215971
Streptococcus sp. [ref_mOTU_v2_0261]	0.460562944633467	0.524722222222222	0.494244244244244	0.491494082840237	0.510179434092478	0.495862068965517
Enterobacter sp. [ref_mOTU_v2_0265]	0.502938447262604	0.549583333333333	0.457707707707708	0.462278106508876	0.53416149068323	0.503200241984271
Bacteroides stercoris [ref_mOTU_v2_0275]	0.494587070832045	0.533333333333333	0.54004004004004	0.466531065088757	0.629744651483782	0.543472474289171
