FR-CRC	DE-CRC	CN-CRC	US-CRC	AT-CRC	all
Streptococcus anginosus [ref_mOTU_v2_0004]	-0.0154442246479747	0.233044471086387	0.288737233089928	0.0536449020776159	-0.0986169514758189	0.0922730860260275
Enterobacteriaceae sp. [ref_mOTU_v2_0036]	0.435402522272537	0.337480341716669	-0.00817965789647594	0.611456026545832	0.603461326249214	0.395924111777555
Citrobacter sp. [ref_mOTU_v2_0076]	0.0519796757331649	0.020167459119975	-0.201164574828608	-0.0971952862244588	0.1635566927541	-0.0125312066891653
Klebsiella michiganensis/oxytoca [ref_mOTU_v2_0079]	0.105059204093183	0.0374760588266771	-0.0545432219980131	0	0.369000893815985	0.0913985869475665
Enterococcus faecalis [ref_mOTU_v2_0116]	-0.0792528900058111	0.0386624654842058	0.121948081674199	0	0.154300966395476	0.0471317247096139
Lactobacillus salivarius [ref_mOTU_v2_0125]	0.134155352555361	0	0.222734775569397	0.102563616179608	0.196372560529262	0.131165260966725
Dielma fastidiosa [ref_mOTU_v2_0138]	-0.00554234606982754	0.184231508090091	0.0614713114871234	0.185054227058008	0.200415763182968	0.125126092749673
Streptococcus constellatus/intermedius [ref_mOTU_v2_0143]	0.139997777317123	0.0856459122352933	0.332126758965394	0.183917099491553	0.123118636888274	0.172961236979527
Streptococcus parasanguinis [ref_mOTU_v2_0144]	-0.230506460602417	-0.182125553842445	-0.019247702109921	0.233874958670818	-0.12531778784579	-0.0646645091459512
Streptococcus sp. HSISM1 [ref_mOTU_v2_0145]	0.0123272258595212	-0.123605302114425	-0.0112825391949794	0.111329742738381	-0.174991124840618	-0.0372443995104241
Peptostreptococcus anaerobius [ref_mOTU_v2_0148]	0	0.0037489627626474	0.125994402454456	0.0390693836846819	0.209138843136924	0.0755903184077418
Bifidobacterium longum [ref_mOTU_v2_0150]	-0.610892094833163	-0.0642855996417543	-0.258344314289295	0.0649548749492696	-0.117527586135099	-0.197218943990008
Bifidobacterium breve [ref_mOTU_v2_0157]	-0.023053860484791	-0.00767124493435133	0	0	-0.0538149889521385	-0.0169080188742562
Klebsiella sp. [ref_mOTU_v2_0160]	0.0618434780937466	-0.0386150702814435	0.0972197424758869	0.0340984453472689	0.0911413341309834	0.0491375859532885
