FR-CRC	DE-CRC	CN-CRC	US-CRC	AT-CRC	all
Streptococcus anginosus [ref_mOTU_v2_0004]	1	0.0507564060054598	0.1463825257711	0.812199759280699	0.62034718006042	0.260065134426304
Enterobacteriaceae sp. [ref_mOTU_v2_0036]	0.369205596434018	0.390413390154039	0.963041868827994	0.220389131817059	0.0699925972829618	0.000346988248063155
Citrobacter sp. [ref_mOTU_v2_0076]	0.720790804954766	1	0.365046354117868	0.42330252093988	0.263974822823063	0.855451067641448
Klebsiella michiganensis/oxytoca [ref_mOTU_v2_0079]	0.538413994462504	0.772302687117658	0.531065739415989	0.451672675618537	0.031144799092698	0.412467203662948
Enterococcus faecalis [ref_mOTU_v2_0116]	0.975061886831614	0.856045440350727	0.46002326504369	0.921649839958451	0.599430213168734	0.669166278165733
Lactobacillus salivarius [ref_mOTU_v2_0125]	0.54876271518546	0.151379843682538	0.335412114769701	0.427182244509755	0.228659212269665	0.00202871550871758
Dielma fastidiosa [ref_mOTU_v2_0138]	0.975061886831614	0.151379843682538	0.775384386017368	0.492154920062265	0.190282235543303	0.0343455031652962
Streptococcus constellatus/intermedius [ref_mOTU_v2_0143]	0.62717475917514	0.434954379897892	0.0646395513294775	0.349041029373924	0.343425544274003	0.00160016162637579
Streptococcus parasanguinis [ref_mOTU_v2_0144]	0.620982266456629	0.329459720832199	0.910290692981893	0.441573422910963	0.379638332341902	0.426198587249785
Streptococcus sp. HSISM1 [ref_mOTU_v2_0145]	1	0.529114943555358	0.967722202560836	0.668189060551085	0.45557191692881	0.493360390258035
Peptostreptococcus anaerobius [ref_mOTU_v2_0148]	0.926727827276202	0.109194702752707	0.444611261006189	0.299224649379644	0.0158894294932734	0.000284947258864563
Bifidobacterium longum [ref_mOTU_v2_0150]	0.239121246262227	0.832452924378599	0.543929917903117	1	0.421480609820808	0.0549317752331967
Bifidobacterium breve [ref_mOTU_v2_0157]	0.991181887792035	0.257281924330051	0.864713475407976	1	0.769210131078285	0.273660822590876
Klebsiella sp. [ref_mOTU_v2_0160]	0.784169575012436	1	0.949803440062954	0.885711733631981	0.605120901350899	0.1531226026138
Lactobacillus ruminis [ref_mOTU_v2_0167]	0.157450181694282	0.313197745878605	0.641179733498336	0.845078576389011	0.918528546593321	0.0480704821950403
Lactococcus lactis [ref_mOTU_v2_0182]	0.815643285613898	0.615987753443553	0.531065739415989	0.728255653639024	0.605120901350899	0.556076800935476
Streptococcus vestibularis [ref_mOTU_v2_0198]	0.369205596434018	0.793130784065299	0.673995191034683	0.845078576389011	0.696062533307808	0.4206934436077
Streptococcus salivarius [ref_mOTU_v2_0199]	0.114274901144914	0.135084768711009	0.532256873089282	0.931864639834906	0.317189799127837	0.00478254960681082
Streptococcus thermophilus [ref_mOTU_v2_0219]	0.293159685793542	0.665171676879048	0.478952979888279	0.370827952020907	0.0164912083884995	0.00235191381049989
Lactobacillus casei/paracasei [ref_mOTU_v2_0226]	0.677331453091321	0.590463858199226	0.939468764937803	0.540564294782474	0.833158441135567	0.125148297704028
Megasphaera elsdenii [ref_mOTU_v2_0252]	0.884881943837237	0.42902128773857	0.512106102188929	0.668189060551085	0.174170415951225	0.731309486627381
Streptococcus sp. [ref_mOTU_v2_0261]	0.625745634528143	0.53091076200196	0.910290692981893	0.896609882210514	0.880280451351975	0.847618870505654
Enterobacter sp. [ref_mOTU_v2_0265]	0.985924256813351	0.181749948343614	0.512106102188929	0.492154920062265	0.455242167356914	0.884675473800345
Bacteroides stercoris [ref_mOTU_v2_0275]	0.983708302986732	0.728521734005511	0.667000175283089	0.845078576389011	0.100509918824149	0.178266444993407
Prevotella nigrescens [ref_mOTU_v2_0276]	0.293159685793542	0.00774406051795153	0.185753454211778	0.378541641727131	0.100509918824149	1.4289756468111e-07
Streptococcus sanguinis [ref_mOTU_v2_0279]	0.255445202869775	0.912066098347244	0.747160415689318	0.677145662301758	0.153428784425885	0.23966663241686
Ruminococcus gnavus [ref_mOTU_v2_0280]	1	0.317088320467048	0.232759136995838	0.285303965899652	0.852335134744669	0.00897557328526756
Ruminococcus lactaris [ref_mOTU_v2_0281]	0.991181887792035	0.613857729197843	0.973926519301403	0.492154920062265	0.918528546593321	0.356405751109549
Bacteroides fragilis [ref_mOTU_v2_0286]	0.378195577221771	0.177434198523675	0.512106102188929	0.451672675618537	0.443836494227469	0.00249535872003037
Bacteroides fragilis [ref_mOTU_v2_0287]	0.246525401941131	0.242855168163476	0.13201873022414	0.42330252093988	0.134557502644161	1.36086021707207e-05
Streptococcus mutans [ref_mOTU_v2_0289]	0.331616012650812	0.24964217011738	0.910290692981893	0.787532585862519	0.702742663676637	0.641904901251088
Bacteroides nordii [ref_mOTU_v2_0302]	0.810559016897877	0.313197745878605	0.926132616489013	0.669091695316097	0.0420443971436389	0.0118093257426492
Coprococcus sp. [ref_mOTU_v2_0303]	0.784169575012436	0.329459720832199	0.910290692981893	0.318720510564179	0.986010419030087	0.188574770171536
Streptococcus anginosus [ref_mOTU_v2_0351]	0.54876271518546	0.142087958075444	0.398945492531279	0.492154920062265	0.830121987653882	0.0724105126885196
Streptococcus oralis [ref_mOTU_v2_0356]	0.955677269937921	0.313197745878605	0.185272547094961	0.845078576389011	0.982867401450672	0.111095553568772
Haemophilus parainfluenzae [ref_mOTU_v2_0358]	0.858494139855744	0.221107623017882	0.16312612207616	0.921649839958451	0.16876546435996	0.714065743452725
Lactococcus lactis [ref_mOTU_v2_0371]	0.777527527430036	0.570751976664452	0.512106102188929	0.921649839958451	0.62034718006042	0.4206934436077
Enterococcus faecium [ref_mOTU_v2_0372]	0.0851679235971967	0.602312453025486	0.910290692981893	0.434635599286277	0.174170415951225	0.12157041342114
Acidaminococcus intestini [ref_mOTU_v2_0391]	0.378195577221771	0.763788151138446	0.313778490615823	0.870117898983292	0.0454614269747874	0.00889408809766014
Streptococcus sp. [ref_mOTU_v2_0416]	0.320549170200929	0.183013498241247	0.254531841374296	0.466961418341971	0.639861106166388	0.00255099913677301
Anaerococcus obesiensis/vaginalis [ref_mOTU_v2_0429]	0.327705325457699	0.109700166228318	0.50847896277023	0.492154920062265	0.000137405631521588	3.31026546509675e-06
Bacteroides barnesiae [ref_mOTU_v2_0452]	0.369205596434018	0.756777563021323	NA	0.668189060551085	NA	0.153585995434781
Bacteroides massiliensis [ref_mOTU_v2_0455]	0.965670175675076	0.0416203302020931	0.174481045021626	0.996119157375357	0.00982369519946215	0.517883523892732
